grant_id,patent_title,kind,number_of_claims,inventors,citations_applicant_count,citations_examiner_count,claims_text,abstract
US10360684,Method and apparatus for edge determination of a measurement object in optical metrology,"Utility Patent Grant (with a published application) issued on or after January 2,2001",8,[Dominik Seitz ],7,30,"[1. Method for edge determination of a measurement object in optical metrology, comprising the steps of:capturing first image data of the measurement object under reflected-light illumination;capturing second image data of the measurement object under transmitted-light illumination;determining a first preliminary edge position of an edge of the measurement object by evaluating the first image data;determining a second preliminary edge position of the edge of the measurement object by evaluating the second image data; anddetermining an edge position of the measurement object based on the first and second preliminary edge positions;rotating the measurement object about a horizontal axis;capturing third image data of the rotated measurement object under reflected-light illumination;capturing fourth image data of the rotated measurement object under transmitted-light illumination;determining a third preliminary edge position of the edge of the measurement object by evaluating the third image data;determining a fourth preliminary edge position of the edge of the measurement object by evaluating the fourth image data;determining a further edge position of the measurement object based on the third and fourth preliminary edge positions; andcomparing the edge position of the measurement object with the further edge position of the measurement object;wherein determining the edge position of the measurement object comprises forming an arithmetic average between the first and second preliminary edge positions, and wherein determining the further edge position of the measurement object comprises:forming an arithmetic average between the third and fourth preliminary edge positions.2. Method according to claim 1, wherein the first image data of the measurement object is captured under bright-field reflected-light illumination, and wherein the second image data of the measurement object is captured under bright-field transmitted-light illumination.3. Method for edge determination of a measurement object in optical metrology, comprising the steps of:capturing first image data of the measurement object under reflected-light illumination;capturing second image data of the measurement object under transmitted-light illumination;forming synthesized image data by synthesizing the first and second image data, wherein each of the first and the second image data is normalized before the synthesized image data is formed; anddetermining a position of an edge of the measurement object based on the synthesized image data, wherein determining the position of the edge of the measurement object based on the synthesized image data comprises determining positions at which grey levels in the normalized first image data correspond to grey levels in the normalized second image data and positions at which a difference between the grey levels of the normalized first image data and the grey levels of the normalized second image data is zero.4. Method according to claim 3, wherein normalizing the first and second image data comprises:normalizing a dynamic range of the first image data to a predefined value and normalizing a dynamic range of the second image data to said predefined value.5. Method according to claim 3, wherein the first image data of the measurement object is captured under bright-field reflected-light illumination, and wherein the second image data of the measurement object is captured under bright-field transmitted-light illumination.6. Method for edge determination of a measurement object in optical metrology, comprising the steps of:capturing first image data of the measurement object under reflected-light illumination;capturing second image data of the measurement object under transmitted-light illumination;forming synthesized image data by synthesizing the first and second image data, wherein each of the first and the second image data is normalized before the synthesized image data is formed; anddetermining a position of an edge of the measurement object based on the synthesized image data;rotating the measurement object about a horizontal axis;capturing third image data of the rotated measurement object under reflected-light illumination;capturing fourth image data of the rotated measurement object under transmitted-light illumination;determining a further position of the edge of the measurement object based on an evaluation in which both the third and the fourth image data is used; andcomparing the edge position of the measurement object that was determined based on the first and second image data to the further edge position of the measurement object that was determined based on the third and fourth image data.7. Method according to claim 6, wherein determining the further edge position of the measurement object comprises:forming second synthesized image data by synthesizing the third and fourth image data; anddetermining the further edge position of the measurement object based on the second synthesized image data.8. Coordinate-measuring machine, comprising:an optical sensor for capturing image data of a measurement object;a first illumination device for producing a reflected-light illumination of the measurement object;a second illumination device for producing a transmitted-light illumination of the measurement object; anda control device which is configured to:illuminate the measurement object by means of the first illumination device and capture first image data by means of the optical sensor,illuminate the measurement object by means of the second illumination device and capture second image data by means of the optical sensor,normalize each of the first and the second image data,form synthesized image data by synthesizing the normalized first and second image data, anddetermine a position of an edge of the measurement object based on the synthesized image data, wherein determining the position of the edge of the measurement object based on the synthesized image data comprises determining positions at which grey levels in the normalized first image data correspond to grey levels in the normalized second image data and positions at which a difference between the grey levels of the normalized first image data and the grey levels of the normalized second image data is zero.]","A method for edge determination of a measurement object in optical metrology, such as performed by an optical coordinate measuring machine. The method includes the steps of capturing first image data of the measurement object under reflected-light illumination, capturing second image data of the measurement object under transmitted-light illumination, and determining a position of an edge of the measurement object based on an evaluation in which both the first and the second image data are used."
US10357537,Cyclotides as immunosuppressive agents,"Utility Patent Grant (with a published application) issued on or after January 2,2001",20,[Christian Werner Gruber ],139,1,"[1. Method of screening for and/or selecting an immunosuppressive cyclotide, the method comprising:(i) contacting activated immune cells with a cyclotide or a plant extract containing a cyclotide and determining the proliferative activity of said activated immune cells,wherein a reduced proliferative activity as compared to a control is indicative for the immunosuppressive activity of the cyclotide or plant extract containing a cyclotide; or(ii) administering to an animal model a pharmaceutically effective amount of a cyclotide or a plant extract containing a cyclotide and determining one or more parameters of the immune system,wherein the reduction of the one or more parameters of the immune system as compared to a control is indicative for the immunosuppressive activity of the cyclotide or plant extract containing a cyclotide.2. The method of claim 1, comprising introducing a mutation into the cyclotide prior to:contacting the activated immune cells with the cyclotide or plant extract; oradministering to the animal model a pharmaceutically effective amount of the cyclotide or plant extract.3. The method of claim 2, wherein the mutated cyclotide demonstrates:a reduced proliferative activity in activated immune cells as compared to the non-mutated cyclotide; ora reduction of one or more parameters of the immune system in the animal model as compared to the non-mutated cyclotide.4. The method of claim 1, further comprising isolating and/or identifying the immunosuppressive cyclotide from the plant extract.5. The method of claim 1, wherein the cyclotide is or comprises a non-grafted cyclotide.6. The method of claim 1 (i), wherein the control comprises:determining the proliferative activity of activated immune cells that have not been contacted with the cyclotide or the plant extract containing a cyclotide; ordetermining the proliferative activity of activated immune cells that have been contacted with a known cyclotide that does not have immunosuppressive activity.7. The method of claim 1 (ii), wherein the control comprises:determining the one or more parameters of the immune system in the animal model that have not been administered the cyclotide or the plant extract containing a cyclotide; ordetermining the one or more parameters of the immune system in the animal model that have been administered a known cyclotide that does not have immunosuppressive activity.8. The method of claim 1 (i), wherein activated immune cells comprise activated human peripheral blood mononuclear cells (PBMCs) or human T-lymphocyte.9. The method of claim 8, wherein the activated human PBMCs comprises CD107a+ CD8+ PBMCs.10. The method of claim 1 (ii), wherein the parameter of the immune system is selected from the group consisting of secretion/production of IL-2, secretion/production of IFN-gamma, secretion/production of TNF-alpha, degranulation/cytotoxicity of CD107a+ CD8+ PBMCs, and expression of IL-2 surface receptor CD25.11. The method of claim 1 (ii), wherein the animal model comprises an animal model for an autoimmune disease.12. The method of claim 11, wherein the animal model for an autoimmune disease comprises the Experimental Autoimmune Encephalitis (EAE) mouse model for Multiple Sclerosis (MS).13. The method of claim 1, wherein the cyclotide comprises a head-to-tail cyclized peptide comprising six conserved cysteine residues capable of forming three disulphide bonds arranged in a cyclic cystine knot (CCK) motif.14. The method of claim 1, wherein said cyclotide comprises a cyclic backbone having the structure of formula I, wherein formula I comprises the amino acid sequence:wherein C is cysteine;wherein each of [X1 . . . Xa], [XI1 . . . XIb], [XII1 . . . XIIc], [XIII1 . . . XIIId], [XIV1 . . . XIVe], and [XV1 . . . XVf] represents one or more amino acid residues, wherein each one or more amino acid residues within or between the sequence residues may be the same or different; andwherein a, b, c, d, e, and f represent the number of amino acid residues in each respective sequence and each of a to f may be the same or different and range from 1 to about 20.15. The method of claim 14, wherein a is 3 to 6, b is 4 to 8, c is 3 to 10, d is 1, e is 4 to 8, and/or f is 5 to 13.16. The method of claim 1, wherein the cyclotide is or comprises a mutant or variant of kalta B.17. The method of claim 1, wherein said cyclotide comprises an amino acid sequence of formula II; wherein formula II comprises:wherein Xxx1 comprises any amino acid, non-natural amino acid or peptidomimetic;wherein Xxx2 comprises any amino acid, non-natural amino acid or peptidomimetic but not Lys; andwherein Xxx3 comprises any amino acid, non-natural amino acid or peptidomimetic but not Ala or Lys.18. The method of claim 1, wherein said cyclotide comprises an amino acid sequence that is at least 90% identical to any amino acid sequence of SEQ ID NOs: 1, 2, 3, 4, 5, 6, and 7.19. The method of claim 1, wherein said cyclotide reduces secretion/production of IL-2, reduces secretion/production of IFN-gamma, reduces secretion/production of TNF-alpha, suppresses/reduces degranulation/cytotoxicity of CD107a+CD8+ PBMCs, and/or suppresses/reduces expression of IL-2 surface receptor CD25.20. The method of claim 1, wherein the anti-proliferative effect or suppression/reduction is mediated in an IL-2-, IFN-gamma- and/or TNF-alpha-depending manner and/or can be antagonized by IL-2.]","The present invention relates to a pharmaceutical composition comprising a cyclotide for use in immune suppression as well as to a method for immune suppression comprising the step of administering an effective amount of a pharmaceutical composition comprising such a cyclotide to a subject in need thereof. The present invention also relates to a pharmaceutical composition comprising a cyclotide for use in treating or preventing a disorder selected from the group consisting of (i) an autoimmune disorder; (ii) a hypersensitivity disorder; and (iii) a lymphocyte-mediated inflammation. Likewise, the present invention also relates to a method for treating or preventing a disorder selected from the group consisting of (i) an autoimmune disorder; (ii) a hypersensitivity disorder; and (iii) a lymphocyte-mediated inflammation. The present invention further relates to a method of screening for and/or selecting an immunosuppressive cyclotide or a mutation which results in a mutated cyclotide having an induced or enhanced immunosuppressive activity. The present invention further relates to a method of producing an immunosuppressive cyclotide or an immunosuppressive pharmaceutical composition. The present invention further relates to a mutated cyclotide having immunosuppressive activity and a pharmaceutical composition comprising the same."
US10362042,Method for transmitting verification information and terminal,"Utility Patent Grant (with a published application) issued on or after January 2,2001",14,[Xiaona Zhao ],37,12,"[1. A method for transmitting verification information, the method comprising:detecting, by a first user terminal, whether a verification operation condition is satisfied, the verification operation condition comprising a user click on a button enabling the first user terminal to obtain a short message service (SMS) message verification code via a near field communication (NFC) connection, the first user terminal being a personal computer;generating, by the first user terminal, a verification information obtaining request when the verification operation condition is satisfied;establishing, by the first user terminal, the NFC connection to a second user terminal, the second user terminal being a mobile phone, and the first user terminal and the second user terminal are associated with a same user;sending, by the first user terminal, the verification information obtaining request to the second user terminal, the verification information obtaining request being used to request the second user terminal to feedback verification information comprising the SMS message verification code to the first user terminal, the verification information obtaining request comprising auxiliary information to enable the second user terminal to receive a first SMS message from a server, the first SMS message enabling the second user terminal to obtain a second SMS message comprising the verification information from an inbox of the second user terminal according to an incoming message number, the auxiliary information enabling the second user terminal to determine a validity time of the verification information;receiving, by the first user terminal via the NFC connection, a verification information obtaining response from the second user terminal, the verification information obtaining response comprising the verification information; andsending, by the first user terminal to the server, the verification information to enable the server to verify the first user terminal.2. The method of claim 1, wherein the verification operation condition comprises:opening an application needing to acquire verification information;displaying a current display interface of the first user terminal related to the verification operation condition;receiving a trigger instruction entered by the same user to trigger the first user terminal to perform the verification operation condition; oropening an application that needs the verification information by calling a wireless function, and the application has call permission.3. The method of claim 1, wherein the verification information obtaining request comprises the auxiliary information enabling the second user terminal to determine the second SMS message comprising the verification information.4. The method of claim 1, wherein the method further comprises:displaying, by the first user terminal, a user interface comprising a verification window;extracting, by the first user terminal, the verification information from the verification information obtaining response after receiving the verification information obtaining response from the second user terminal; anddisplaying the verification information in the verification window.5. A user terminal, comprising:a non-transitory memory comprising instructions; anda processor coupled to the non-transitory memory and configured to execute the instructions, the instructions causing the processor to be configured to:detect whether a verification operation condition is satisfied, the verification operation condition comprising a user click on a button enabling the user terminal to obtain a short message service (SMS) message verification code via a near field communication (NFC) connection, the user terminal being a personal computer; andgenerate a verification information obtaining request in response when the verification operation condition is satisfied; anda transceiver coupled to the processor and configured to:establish the NFC connection to another user terminal, the other user terminal being a mobile phone, the user terminal and the other user terminal are associated with a same user;send the verification information obtaining request to the other user terminal via the NFC connection, the verification information obtaining request being used to request the other user terminal to feedback verification information comprising the SMS message verification code to the user terminal, the verification information obtaining request comprising auxiliary information to enable the other user terminal to receive a first SMS message from a server, the first SMS message enabling the other user terminal to obtain a second SMS message comprising the verification information from an inbox of the other user terminal according to an incoming message number, the auxiliary information enabling the other user terminal to determine a validity time of the verification information;receive a verification information obtaining response from the other user terminal via the NFC connection, the verification information obtaining response comprising the verification information; andsend the verification information to the server, the verification information enabling the server to verify the user terminal.6. The user terminal of claim 5, wherein the instructions further cause the processor to detect the verification operation condition comprises:an application needing to obtain verification information is opened;a current display interface of the user terminal is an interface related to the verification operation condition;a trigger instruction entered by a user is received, the trigger instruction being used to trigger the user terminal to perform the verification operation condition; oran application needing to obtain verification information is opened, and the application needing to obtain verification information has call permission.7. The user terminal of claim 5, wherein the the auxiliary information is used for the other user terminal to determine a message comprising the verification information.8. The user terminal of claim 5, wherein the instructions further cause the processor to be configured to:display a user interface comprising a verification window;extract the verification information from the verification information obtaining response; anddisplay the verification information in the verification window.9. The user terminal of claim 5, wherein the instructions further cause the processor to detect the verification operation condition, comprising:an application obtaining the verification information is opened;a display interface of the user terminal is displayed in an interface related to the verification operation condition;an application that needs the verification information by calling a wireless function, and the application has call permission ora trigger instruction entered by the same user to trigger the user terminal to perform the verification operation condition.10. The user terminal of claim 5, wherein the instructions further cause the processor to be configured to:display a user interface comprising a verification window;extract the verification information from the verification information obtaining response after receiving the verification information obtaining response from the other user terminal; anddisplay the verification information in the verification window.11. A user terminal, comprising:a non-transitory memory comprising instructions; anda processor coupled to the non-transitory memory and configured to execute the instructions, wherein the instructions cause the processor to be configured to:establish a near field communication (NFC) connection to another user terminal;receive, via the NFC connection, a verification information obtaining request from the other user terminal to indicate a verification operation condition, wherein the verification operation condition comprises a user click on a button enabling the other user terminal to obtain a short message service (SMS) message verification code via the NFC connection, wherein the other user terminal is a personal computer and the user terminal is a mobile phone, wherein the user terminal and the other user terminal are associated with a same user, wherein the verification information obtaining request is used to request the user terminal to feedback verification information comprising the SMS message verification code to the other user terminal, wherein the verification information obtaining request comprises auxiliary information to enable the user terminal to receive a first SMS message from a server, wherein the first SMS message enables the user terminal to obtain a second SMS message comprising the verification information from an inbox of the user terminal according to an incoming message number, wherein the auxiliary information enables the user terminal to determine a validity time of the verification information;obtain the verification information from the server;generate a verification information obtaining response comprising the verification information; andsend, to the other user terminal, the verification information obtaining response comprising the verification information via the NFC connection, and wherein the verification information is used by the server to verify the other user terminal.12. The user terminal of claim 11, wherein the instructions further cause the processor to receive the second SMS message comprising the verification information from the server.13. The user terminal of claim 11, wherein the instructions further cause the processor to obtain the verification information according to an extraction keyword set according to a type or a source of the verification information.14. The user terminal of claim 11, wherein the instructions further cause the processor to determine that the obtained verification information is within the validity time prior to sending the verification information obtaining response.]","A method for transmitting verification information includes: detecting, by a first terminal, whether a condition for performing a verification operation is satisfied; generating, by the first terminal, a verification information obtaining request if the condition for performing a verification operation is satisfied, where the verification information obtaining request is used to request a second terminal to feed back verification information; sending, by the first terminal, the verification information obtaining request to the second terminal; receiving, by the first terminal, a verification information obtaining response returned by the second terminal, where the verification information obtaining response includes the verification information; and sending, by the first terminal, the verification information to a server, where the verification information is used for the server to verify the first terminal."
US10358664,Mutant host cells for the production of 3-hydroxypropionic acid,"Utility Patent Grant (with a published application) issued on or after January 2,2001",18,[Janice Frias ],9,2,"[1. A recombinant yeast cell, wherein the recombinant yeast cell belongs to the genus Issatchenkia, wherein the recombinant yeast cell comprises (1) an active 3-hydroxypropionic acid (3-HP) pathway capable of producing 3-HP and (2) a disruption to an endogenous gene that encodes a pyruvate reductase, and wherein the amino acid sequence of the pyruvate reductase has at least 95% sequence identity to the amino acid sequence of SEQ ID NO: 205.2. The recombinant cell of claim 1, wherein the amino acid sequence of the pyruvate reductase differs by no more than ten amino acids from the amino acid sequence of SEQ ID NO: 205.3. The recombinant cell of claim 1, wherein the pyruvate reductase comprises or consists of the amino acid sequence of SEQ ID NO: 205.4. The recombinant cell of claim 1, wherein the cell produces less D-lactate compared to a corresponding yeast cell that lacks disruption of the endogenous gene encoding the pyruvate reductase, when cultivated under identical conditions.5. The recombinant cell of claim 1, wherein the cell produces less pyruvate reductase compared to a corresponding yeast cell that lacks disruption of the endogenous gene encoding the pyruvate reductase, when cultivated under identical conditions.6. The recombinant cell of claim 1, wherein the endogenous gene encoding the pyruvate reductase is inactivated.7. The recombinant cell of claim 1, wherein the cell comprises one or more heterologous polynucleotides selected from:a heterologous polynucleotide encoding a pyruvate dehydrogenase (PDH);a heterologous polynucleotide encoding an acetyl-CoA carboxylase (ACC);a heterologous polynucleotide encoding a malonyl-CoA reductase; anda heterologous polynucleotide encoding a 3-HP dehydrogenase (3-HPDH).8. The recombinant cell of claim 1, wherein the cell comprises one or more heterologous polynucleotides selected from:a heterologous polynucleotide encoding a PEP carboxylase (PPC);a heterologous polynucleotide encoding a pyruvate carboxylase (PYC);a heterologous polynucleotide encoding an aspartate aminotransferase (AAT);a heterologous polynucleotide encoding an aspartate 1-decarboxylase (ADC);a heterologous polynucleotide encoding a &#x3b2;-alanine aminotransferase (BAAT) or aminobutyrate aminotransferase (gabT); anda heterologous polynucleotide encoding a 3-HP dehydrogenase (3-HPDH).9. The recombinant cell of claim 1, wherein the cell is an Issatchenkia orientalis. 10. The recombinant cell of claim 1, wherein the yeast cell is unable to ferment pentose sugars.11. A method of producing 3-hydroxypropionic acid (3-HP), comprising:(a) cultivating the recombinant yeast cell of claim 1 in a fermentable medium under suitable conditions to produce 3-HP; and(b) recovering the 3-HP.12. A method of producing acrylic acid or a salt thereof, comprising:(a) cultivating the recombinant cell of claim 1 in a fermentable medium under suitable conditions to produce 3-hydroxypropionic acid (3-HP);(b) recovering the 3-HP;(c) dehydrating the 3-HP under suitable conditions to produce acrylic acid or a salt thereof; and(d) recovering the acrylic acid or salt thereof.13. The method of claim 11, wherein the fermentable medium comprises less than 1% pentose sugars.14. A method for obtaining the recombinant yeast cell of claim 1, comprising:(a) cultivating a parent yeast strain, wherein the parent strain belongs to the genus Issatchenkia; (b)(i) transforming the parent strain with one or more 3-hydroxypropionic acid (3-HP) pathway gene(s) to provide an active 3-HP pathway in the parent strain of (a);(b)(ii) disrupting an endogenous gene encoding a pyruvate reductase in the parent strain of (a), wherein the amino acid sequence of the pyruvate reductase has at least 95% sequence identity to the amino acid sequence of SEQ ID NO: 205; and(c) isolating the recombinant yeast cell resulting from (b)(i) and (b)(ii).15. The recombinant cell of claim 1, wherein the amino acid sequence of the pyruvate reductase has at least 97% sequence identity to the amino acid sequence of SEQ ID NO: 205.16. The method of claim 11, wherein the amino acid sequence of the pyruvate reductase has at least 97% sequence identity to the amino acid sequence of SEQ ID NO: 205.17. The method of claim 11, wherein the amino acid sequence of the pyruvate reductase comprises or consists of the amino acid sequence of SEQ ID NO: 205.18. The method of claim 11, wherein the recombinant cell is an Issatchenkia orientalis cell.]","Provided herein are recombinant host cells having an active 3-Hydroxypropionic Acid (3-HP) pathway wherein the host cells comprise a disruption to an endogenous gene that encodes for a pyruvate reductase. Also described are methods of making the host cells, and methods using the cells to produce 3-HP and derivatives of 3-HP (e.g., acrylic acid)."
US10361908,Management of OSS using DCN capability,"Utility Patent Grant (with a published application) issued on or after January 2,2001",19,[Federico Pasini ],6,5,"[1. A method of managing an operational support system for a telecommunications network, the telecommunications network comprising network elements, the operational support system being coupled by a data communications network with those of the network elements managed by the operational support system, the method comprising:monitoring at least one parameter characteristic of an actual capability of the data communications network;providing reference performance information for at least one operation of the operational support system in respect to at least one of the network elements;predicting performance of the at least one operation of the operational support system based on the reference performance information for the at least one operation and on the actual capability of the data communications network; andraising an alarm based on a comparison between the predicted performance and a defined threshold associated with the at least one operation of the operational support system.2. The method of claim 1, further comprising determining the threshold based on a monitored actual performance of the at least one operation of the operational support system.3. The method of claim 1, further comprising thereafter using the alarm as an input to at least one of:triggering a warning to an operator;adapting an operation of the operational support system; andadapting the data communications network.4. The method of claim 1, wherein the reference performance information is dependent on a communication load needed for the at least one operation in relation to the respective network element.5. The method of claim 1, wherein the reference performance information is dependent on a protocol type used by the data communications network for the respective network element.6. The method of claim 1, wherein predicting the performance of the at least one operation is based on monitored actual capability of the data communications network adjusted by a predetermined factor representing a sensitivity of the predicted performance to the actual capability of the data communications network.7. The method of claim 2, wherein:predicting the performance of the at least one operation comprises predicting a completion time of the at least one operation, andthe monitored actual performance comprises a monitored actual completion time for the at least one operation.8. A non-transitory computer readable recording medium storing a computer program product for managing an operational support system for a telecommunications network, the telecommunications network comprising network elements, the operational support system being coupled by a data communications network with those of the network elements managed by the operational support system, the computer program product comprising software instructions which, when run on processing circuitry of a computing device, cause the computing device to:monitor at least one parameter characteristic of an actual capability of the data communications network;provide reference performance information for at least one operation of the operational support system in respect to at least one of the network elements;predict performance of the at least one operation of the operational support system based on the reference performance information for the at least one operation and on the actual capability of the data communications network; andraise an alarm based on a comparison between the predicted performance and a defined threshold associated with the at least one operation of the operational support system.9. An apparatus for managing an operational support system for a telecommunications network, the telecommunications network comprising network elements, the operational support system being coupled by a data communications network with those of the network elements managed by the operational support system, the apparatus comprising:a first memory portion configured to store reference performance information for at least one operation of the operational support system in respect of at least one of the network elements;processing circuitry; anda second memory portion containing instructions executable by the processing circuitry whereby the apparatus is operative to:monitor at least one parameter characteristic of an actual capability of the data communications network;predict a performance of the at least one operation of the operational support system based on the reference performance information for the at least one operation and on the actual capability of the data communications network; andraise an alarm based on a comparison between the predicted performance and a defined threshold associated with the at least one operation of the operational support system.10. The apparatus of claim 9, wherein the instructions are such that the apparatus is further operative to determine the threshold based on a monitored actual performance of the at least one operation of the operational support system.11. The apparatus of claim 9, wherein the instructions are such that the apparatus is further operative to use the alarm for at least one of:triggering a warning to an operator;adapting an operation of the operational support system; andadapting the data communications network.12. The apparatus of claim 9, wherein the first memory portion is further configured to provide the reference performance information dependent on a communication load needed for the at least one operation in relation to the respective network element.13. The apparatus of claim 9, wherein the first memory portion is further configured to provide the reference performance information dependent on a protocol type used by the data communications network for the respective network element.14. The apparatus of claim 10, wherein the instructions are such that the apparatus is operative to:predict the performance by selecting from at least two operations of the operational support system each relating to different network elements needing different communication loads, according to whichever of the different network elements corresponds more closely to a network element for which the actual performance is monitored; andperform the comparison based on the predicted performance for the selected one of the at least two operations of the operational support system.15. The apparatus of claim 9, wherein the instructions are such that the apparatus is operative to predict the performance of the at least one operation based on monitored actual capability of the data communications network adjusted by a predetermined factor representing a sensitivity of the predicted performance to the actual capability of the data communications network.16. The apparatus of claim 10, wherein the instructions are such that the apparatus is operative to predict the performance as a predicted completion time of the at least one operation, and to use an actual completion time as the monitored actual performance for the at least one operation.17. The apparatus of claim 16, wherein the instructions are such that the apparatus is further operative to make the comparison between the predicted performance and the defined threshold by determining if the actual completion time is longer than the predicted completion time by a predetermined amount.18. The apparatus of claim 9, wherein the instructions are such that the apparatus is operative to monitor the at least one parameter characteristic of the actual capability of the data communications network in terms of at least one of: a latency, a bandwidth, and a packet loss characteristic.19. An operational support system for a telecommunications network, the telecommunications network comprising network elements, the operational support system being coupled by a data communications network with those of the network elements managed by the operational support system, the operational support system comprising:an apparatus for managing the operational support system, the apparatus comprising:a first memory portion configured to store reference performance information for at least one operation of the operational support system in respect of at least one of the network elements;processing circuitry; anda second memory portion containing instructions executable by the processing circuitry whereby the apparatus is operative to:monitor at least one parameter characteristic of an actual capability of the data communications network;predict a performance of the at least one operation of the operational support system based on the reference performance information for the at least one operation and on the actual capability of the data communications network; andraise an alarm based on a comparison between the predicted performance and a defined threshold associated with the at least one operation of the operational support system.]","An operational support system (OSS) (96) for a telecommunications network, is coupled by a data communications network (DCN) (410, 510) with network elements (110) managed by the OSS. The OSS is managed by monitoring (200) an actual capability of the data communications network, and performance of an OSS operation is predicted (220) based on reference performance information and on the actual capability of the DCN. An alarm is raised based on a comparison (230) between the predicted performance and a defined threshold associated with the operation of the operational support system. Compared to known OSS monitoring to detect when an OSS operation has failed to complete, this raising of the alarm can enable pre-emptive management action. By making the prediction based on actual DCN capability, the prediction can have reduced errors from variability or unpredictability in DCN capability."
USPP030739,Anemone plant named &#x2018;Curtain Call Pink&#x2019;,"Plant Patent Grant (with a published application) issued on or after January 2, 2001",1,[Hans A Hansen ],0,0,"[1. A new and distinct cultivar of ornamental Japanese Anemone plant named Anemone &#x2018;Curtain Call Pink&#x2019;, as herein described and illustrated.]","The new and distinct cultivar of ornamental Japanese Anemone plant named Anemone &#x2018;Curtain Call Pink&#x2019; with compact spreading habit, vertical peduncle of numerous semi-double flowers with bright rose pink petals, beginning late summer and continuing into early fall, set just above the dark green, tri-foliate leaves with irregularly serrated to bi-serrated. The new plant is useful for landscaping as a specimen, en masse, or in containers."
US10362421,Switching binaural sound,"Utility Patent Grant (no published application) issued on or after January 2,2001",20,[Philip Scott Lyren ],0,8,"[1. Headphones, comprising:a memory that stores head-related transfer functions (HRTFs);an interface that wirelessly receives sound from a handheld portable electronic device (HPED);a digital signal processor (DSP) that processes, with the HRTFs, the sound into binaural sound;speakers that provide the binaural sound that externally localizes in empty space to a user wearing the headphones; anda button that when pressed by a hand of the user switches the sound from being provided to the user as the binaural sound to being provided to the user as stereo sound.2. The headphones of claim 1, wherein the button is located on a housing of the headphones, and pressing the button stops processing of the sound into the binaural sound.3. The headphones of claim 1, wherein pressing the button toggles the headphones through at least three different modes of operation, and one of the modes of operation provides the sound as the binaural sound and another one of the modes of operation provides the sound as the stereo sound.4. The headphones of claim 1, wherein pressing the button changes an amount of environmental sound that passes through the headphones to ears of the user.5. The headphones of claim 1, wherein pressing the button causes the headphones to block sound in an environment of the user from passing through the headphones to ears of the user.6. The headphones of claim 1 further comprising:a microphone that captures a voice of a person, wherein voice recognition software detects the voice, and the headphones automatically stop playing the binaural sound and switch to the stereo sound upon detection of the voice.7. The headphones of claim 1 further comprising:a microphone that captures a voice, wherein the headphones automatically pause playing the binaural sound and switch to the stereo sound upon detecting the voice.8. Headphones, comprising:a memory that stores head-related transfer functions (HRTFs);an interface that wirelessly receives sound from an electronic device;a digital signal processor (DSP) that processes the sound with the HRTFs to produce binaural sound that externally localizes into empty space outside a head of a user wearing the headphones;speakers that play the binaural sound to the user wearing the headphones; anda switch on a housing of the headphones that when activated by a hand of the user changes between at least three modes of operation that include switching from providing the user with the binaural sound to providing the user with stereo sound.9. The headphones of claim 8 further comprising:a microphone that captures a voice command from the user, wherein the voice command moves the binaural sound from one sound localization point (SLP) in empty space outside the head of the user to a location of a handheld portable electronic device.10. The headphones of claim 8, wherein the three modes of operation include a mode that blocks environmental sound from passing through the headphones to ears of the user.11. The headphones of claim 8 further comprising:a sensor that senses a body gesture from the user, wherein sensing of the body gesture causes the headphones to switch from providing the user with the stereo sound to providing the user with the binaural sound.12. The headphones of claim 8, wherein the switch is a physical button that the user presses.13. The headphones of claim 8, wherein activation of the switch further causes the headphones to switch the sound from the stereo sound to the binaural sound.14. The headphones of claim 8, wherein the hand of the user presses the switch and causes the binaural sound to turn off.15. A method comprising:storing head-related transfer functions (HRTFs) in a memory of headphones;receiving, at a wireless interface in the headphones, sound from an electronic device;processing, by a digital signal processor (DSP) in the headphones, the sound with the HRTFs to produce binaural sound that externally localizes into empty space outside a head of a user wearing the headphones;playing, by speakers in the headphones, the binaural sound to the user wearing the headphones; andswitching, upon activation of a physical switch on the headphones, the sound from being provided to the user as the binaural sound to being provided to the user as stereo sound.16. The method of claim 15 further comprising:playing, by the speakers in the headphones, an audio alert when the sound switches from the binaural sound to the stereo sound.17. The method of claim 15, wherein the physical switch is a push button on a housing of the headphones.18. The method of claim 15 further comprising:tracking head movements of the user with head tracking in the headphones; andswitching the sound from being provided to the user as the binaural sound to being provided to the user as the stereo sound upon tracking the head movements of the user.19. The method of claim 15 further comprising:receiving, at a microphone in the headphones, a verbal instruction from the user that causes the headphones to switch the sound from being provided in the stereo sound to being provided in the binaural sound.20. The method of claim 15 further comprising:sensing, with a sensor in the headphones, when a physical object interferes with a sound localization point (SLP) where the binaural sound externally localizes to the user; andswitching, by the headphones and in response to sensing the physical object interfering with the SLP, the sound from being provided in the binaural sound to being provided in the stereo sound.]","A method provides binaural sound to a person through electronic earphones. The binaural sound localizes to a sound localization point (SLP) in empty space that is away from but proximate to the person. When an event occurs, the binaural sound switches or changes to stereo sound, to mono sound, or to altered binaural sound."
