,ID,Address,Suburb,Rooms,Type,Price,Date,Bathroom,Car,Landsize,Age,Lattitude,Longtitude,train_station_id,distance_to_train_station,travel_min_to_CBD,over_priced?,crime_A_average,crime_B_average,crime_C_average,closest_primary_school,distance_to_closest_primary,primary_school_ranking,closest_secondary_school,distance_to_closest_secondary,secondary_school_ranking
0,ID539407125,6 Richardson Av,SUNBURY,4,h,600000.0,23/09/2017,2.0,1.0,1007.0,39.0,-37.57231,144.70429,15351.0,2167.3870345343466,45,False,1479.33,4398.67,502.0,Sunbury West Primary School,810.4075459237451,not ranked,Sunbury Downs Secondary College,1302.189754912783,not ranked
1,ID156592057,3/915 Dandenong Rd,MALVERN EAST,2,t,500000.0,30/07/2016,1.0,1.0,50.0,69.0,-37.8767,145.0469,22248.0,393.61856357827304,20,False,610.0,1743.67,228.0,St Mary's School,669.5240150669266,159,Oakwood School,1158.5605476170272,565
2,ID987128967,67 Regent St,PRESTON,3,h,875000.0,28/08/2016,2.0,1.0,650.0,69.0,-37.7302,144.998,20011.0,465.38214276881934,31,False,659.0,5219.33,338.33,St Raphael's School,642.1626569378066,349,Preston High School,1471.5804350667704,not ranked
3,ID616854389,42a Essex Rd,SURREY HILLS,4,h,1725000.0,18/06/2016,2.0,2.0,798.0,44.0,-37.8308,145.0916,19894.0,768.7587317921633,25,False,2403.67,5212.33,586.67,Canterbury Primary School,743.681176052682,43,Siena College Ltd,855.042460404583,not ranked
4,ID241460161,74 Carpenter St,BRIGHTON,5,h,2750000.0,7/05/2016,3.0,1.0,509.0,14.0,-37.9118,144.9984,19951.0,414.5055728408067,28,False,2744.33,10289.67,780.0,Brighton Primary School,239.51566253058172,342,Brighton Grammar School,435.10722696681603,46
5,ID373823460,7/11 Harts Pde,HAWTHORN EAST,2,u,555000.0,10/09/2016,1.0,1.0,0.0,49.0,-37.8318,145.0448,19903.0,1050.58452871684,18,False,1144.33,6845.67,375.67,Auburn South Primary School,836.3084751734448,124,SEDA College (Victoria),818.3746231240461,not ranked
6,ID793873223,34 Russell Cr,BORONIA,4,h,820000.0,8/07/2017,2.0,4.0,719.0,44.0,-37.86434000000001,145.25739,19869.0,2411.5842843969203,49,False,59.0,124.0,5.33,Knox Central Primary School,412.73780240654395,not ranked,Fairhills High School,997.9337342724968,406
7,ID868140935,4 Ada St,CAMBERWELL,3,h,2250000.0,16/04/2016,2.0,2.0,656.0,10.0,-37.841,145.0824,19850.0,686.9975076402483,27,False,3703.67,18944.0,2039.33,St Dominic's School,263.9128657289764,82,Siena College Ltd,816.9897470846851,not ranked
8,ID902765718,62 Hawker St,IVANHOE,3,h,1510000.0,8/07/2017,1.0,2.0,670.0,59.0,-37.75973,145.03808,19933.0,1207.9124265255625,27,False,92.33,260.0,36.67,St Bernadette's School,508.72175532886445,230,Ivanhoe Girls' Grammar School,979.2745808353454,49
9,ID826174248,7/13 Clarendon St,COBURG,2,u,466000.0,8/10/2016,1.0,1.0,0.0,39.0,-37.7527,144.9522,19966.0,869.9440529310757,19,False,1071.33,5783.67,419.67,St Fidelis' School,323.29654614089304,not ranked,Antonine College,1528.102894379314,482
